Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Bathua raita,40,54.4,4.13,5.31,1.76
Generic/Average Restaurant,Pineapple raita (Ananas ka raita),40,67.74,3.9,8.62,2.02
Generic/Average Restaurant,Banana raita (Kele ka raita),40,89.03,4.13,13.51,2.07
Generic/Average Restaurant,Mango raita (Aam ka raita),40,67.37,3.9,8.23,2.14
Generic/Average Restaurant,Guava raita (Amarood ka raita),40,64.36,4.19,7.27,2.07
Generic/Average Restaurant,Grapes raita (Angoor ka raita),40,72.59,3.98,9.66,2.07
Generic/Average Restaurant,Bottle gourd kheer (Ghiya/Lauki kheer),80,84.07,2.7,10.0,3.86
Generic/Average Restaurant,Pumpkin kheer (Kaddu ki kheer),80,86.35,2.76,10.44,3.86
Generic/Average Restaurant,Apple kheer (Seb ki kheer),80,81.3,2.14,11.34,3.18
Generic/Average Restaurant,Caramel custard (baked),120,122.7,5.11,14.95,5.01
Generic/Average Restaurant,Vanilla ice cream without egg,300,228.67,2.69,14.21,18.15
Generic/Average Restaurant,Vanilla ice cream with egg,300,214.85,4.16,11.71,17.02
Generic/Average Restaurant,Strawberry ice cream,80,215.61,4.15,12.26,16.96
Generic/Average Restaurant,Chocochip ice cream,80,241.45,4.23,16.75,17.93
Generic/Average Restaurant,Choconut ice cream,80,273.96,5.04,23.13,18.49
Generic/Average Restaurant,Pear chocholate sunday,120,183.49,2.08,15.02,13.11
Generic/Average Restaurant,Chocolate sauce,40,263.2,1.91,43.21,10.39
Generic/Average Restaurant,Coffee ice cream,30,150.62,3.15,14.09,9.43
Generic/Average Restaurant,Coffee pear alaska,30,203.99,2.88,19.36,13.22
Generic/Average Restaurant,Crunchy butterscotch,120,277.32,3.11,19.92,20.99
Generic/Average Restaurant,Peach melba ice cream,80,200.85,2.06,16.31,14.51
Generic/Average Restaurant,Vanilla ice cream with apples in hot cherry sauce,40,196.32,1.73,22.75,11.45
Generic/Average Restaurant,Grape and orange whip,120,57.39,1.41,6.72,2.62
Generic/Average Restaurant,Honey banana cream,120,125.49,2.78,13.64,6.68
Generic/Average Restaurant,Raspberry bavarian cream,120,150.1,3.34,17.82,7.88
Generic/Average Restaurant,Fruit delight,120,107.09,2.09,9.11,7.09
Generic/Average Restaurant,Creamy chocolate mousse,120,230.52,6.85,9.53,18.16
Generic/Average Restaurant,Cold lemon souffle,120,169.87,5.89,15.62,9.78
Generic/Average Restaurant,Cold orange souffle,120,173.19,5.94,16.27,9.82
Generic/Average Restaurant,Cold pineapple souffle,120,181.22,6.23,16.85,10.39
Generic/Average Restaurant,Cold vanilla souffle,120,179.54,6.22,16.29,10.32
Generic/Average Restaurant,Cold chocolate souffle,120,187.53,6.37,17.22,10.86
Generic/Average Restaurant,Stewed fruit (with pear),120,74.32,0.25,18.22,0.32
Generic/Average Restaurant,Apricot fool,120,240.79,1.54,33.64,11.35
Generic/Average Restaurant,Pavlova,120,200.6,1.84,21.84,12.29
Generic/Average Restaurant,Apple crumb pudding,120,220.85,1.54,35.17,8.87
Generic/Average Restaurant,Steamed cake with chocolate sauce,30,301.91,4.49,29.06,19.01
Generic/Average Restaurant,Hot lemon souffle,120,155.25,5.29,16.31,7.93
Generic/Average Restaurant,Gulab jamun with milk powder,30,471.15,0.85,28.24,40.15
Generic/Average Restaurant,Chum chum,120,130.05,1.52,28.27,1.92
Generic/Average Restaurant,Dil bahar,120,130.05,1.52,28.27,1.92
Generic/Average Restaurant,Rasbhari,120,130.05,1.52,28.27,1.92
Generic/Average Restaurant,Rajbogh,120,133.7,1.71,28.16,2.28
Generic/Average Restaurant,Rasgulla,120,118.64,1.38,25.79,1.75
Generic/Average Restaurant,Rasmalai,120,135.55,1.61,29.17,2.11
Generic/Average Restaurant,Khoa coconut burfi,120,411.45,9.98,36.55,26.01
Generic/Average Restaurant,Danedar burfi,120,102.68,3.24,12.33,4.72
Generic/Average Restaurant,Semolina burfi (Suji/Rava burfi),120,348.67,3.47,47.1,16.86
Generic/Average Restaurant,Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),120,186.18,1.75,17.02,12.66
Generic/Average Restaurant,Khoa ladoo,120,396.02,12.21,34.43,24.09
Generic/Average Restaurant,Wheat and gram flour ladoo (Atta besan ladoo),120,501.7,9.38,50.5,29.86
Generic/Average Restaurant,Semolina ladoo with nuts (Suji/Rava ladoo with nuts),120,441.84,5.44,48.02,25.45
Generic/Average Restaurant,Sesame chickpeas brittle (Til aur channe ki chikki),120,282.74,8.5,50.49,4.66
Generic/Average Restaurant,Murmura chikki,120,253.82,2.12,59.59,0.32
Generic/Average Restaurant,Masala onion pakora/pakoda (Pyaaz ke pakode),40,551.64,2.05,6.48,57.61
Generic/Average Restaurant,Masala green chilli pakora/pakoda (Hari mirch kay pakode),40,668.76,2.22,5.55,71.01
Generic/Average Restaurant,Chicken pakora/pakoda,50,590.09,6.03,4.55,60.98
Generic/Average Restaurant,Fish pakora/pakoda,50,577.03,5.97,4.55,59.52
Generic/Average Restaurant,Paneer cutlet,50,672.2,4.59,7.62,69.38
Generic/Average Restaurant,Sago cutlet/vadas (Sabudana cutlet/vadas),50,558.76,0.56,11.23,56.97
Generic/Average Restaurant,Poshtik cutlet,50,496.45,2.0,7.39,50.94
Generic/Average Restaurant,Egg cutlet (Anda cutlet),50,575.02,2.45,5.77,60.25
Generic/Average Restaurant,Minced meat cutlet,50,531.86,5.1,5.61,54.47
Generic/Average Restaurant,Vegetable samosa,50,443.11,2.21,13.22,42.22
Generic/Average Restaurant,Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),50,745.5,4.39,9.7,76.32
Generic/Average Restaurant,Masala urad dal vada,40,703.78,4.32,9.93,71.62
Generic/Average Restaurant,Khaman (dhokla),50,54.73,1.92,5.36,2.8
Generic/Average Restaurant,Instant dhokla,50,207.11,7.66,24.11,9.37
Generic/Average Restaurant,Tomato ginger chutney (Tamatar adarak ki chutney),40,44.66,1.05,9.11,0.32
Generic/Average Restaurant,Mint tomato chutney (Pudinay aur tamatar ki chutney),40,43.65,1.53,8.22,0.36
Generic/Average Restaurant,Coriander chutney (Hare dhaniye ki chutney),40,42.86,1.38,8.16,0.37
Generic/Average Restaurant,Gooseberry chutney (Amla chutney),40,43.02,1.44,8.83,0.62
Generic/Average Restaurant,Walnut chutney (Akhrot ki chutney),40,370.43,9.44,8.91,33.46
Generic/Average Restaurant,Saunth/Sonth chutney with ginger,40,84.22,0.28,20.62,0.11
Generic/Average Restaurant,Gun powder chutney,40,312.34,21.55,47.65,2.67
Generic/Average Restaurant,Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,40,346.36,12.88,36.72,15.88
Generic/Average Restaurant,Curd mint dip ,120,76.13,4.82,9.11,2.44
Generic/Average Restaurant,Curd vegetable dip,180,56.21,3.88,6.04,1.94
Generic/Average Restaurant,Mayonnaise vegetable dip,180,241.27,3.01,4.8,23.44
Generic/Average Restaurant,Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),100,150.68,4.03,20.51,6.31
Generic/Average Restaurant,Tomato sandwich (grilled),100,189.92,6.26,21.29,9.39
Generic/Average Restaurant,French sandwich (toasted),100,186.75,6.82,14.82,11.51
Generic/Average Restaurant,Peanut butter cucumber sandwich,100,243.33,9.04,29.76,10.56
Generic/Average Restaurant,Mint and peanut sandwich,100,273.59,7.18,31.83,13.88
Generic/Average Restaurant,Spicy chutney sandwich,40,249.58,8.74,34.03,9.58
Generic/Average Restaurant,Chicken walnut sandwich (Chicken aur akhrot ke sandwich),100,285.78,12.58,22.62,16.77
Generic/Average Restaurant,Rolled sandwich,50,293.07,6.45,34.69,15.29
Generic/Average Restaurant,Ribbon sandwich,100,239.26,6.26,24.76,13.37
Generic/Average Restaurant,Checker board sandwich,100,348.37,7.37,25.94,24.65
Generic/Average Restaurant,Submarine sandwich,100,216.92,6.09,13.6,15.32
Generic/Average Restaurant,Cheese open sandwich,100,274.07,9.84,28.42,14.24
Generic/Average Restaurant,Sunset and sunrise open sandwich,100,241.31,8.58,18.89,15.14
Generic/Average Restaurant,Danish luncheon sandwich,100,193.82,9.03,17.77,10.1
Generic/Average Restaurant,Chicken and corn open sandwich,100,188.16,8.63,19.21,8.83
Generic/Average Restaurant,Chocolate sponge cake,80,239.86,9.13,39.54,5.51
Generic/Average Restaurant,Chocolate swiss roll,50,306.08,6.01,26.97,19.76
Generic/Average Restaurant,Lemon curd filling,120,225.62,3.43,26.41,12.58
Generic/Average Restaurant,Jam filling,120,184.62,0.0,46.15,0.0
Generic/Average Restaurant,Chocolate pastry,120,243.37,7.05,32.24,10.12
Generic/Average Restaurant,Assorted pastry,120,230.74,6.78,31.99,8.91
Generic/Average Restaurant,Orange gateau,30,178.05,4.78,27.01,6.02
Generic/Average Restaurant,Black forest gateau,30,217.82,5.94,30.57,8.58
Generic/Average Restaurant,Lemon cake,80,373.85,5.29,43.1,20.63
Generic/Average Restaurant,Dundee cake,80,396.62,7.78,41.4,22.7
Generic/Average Restaurant,Victorian sandwich cake,100,373.09,5.18,44.74,19.83
Generic/Average Restaurant,Chocolate eggless cake,300,312.01,6.66,43.45,13.19
Generic/Average Restaurant,Orange eggless cake,300,355.62,7.16,52.65,13.82
Generic/Average Restaurant,Chocolate glace icing,120,436.29,3.22,62.43,20.8
Generic/Average Restaurant,Butter icing,120,500.72,0.19,71.64,25.37
Generic/Average Restaurant,Chocolate butter icing,120,469.59,3.21,61.72,24.77
Generic/Average Restaurant,Almond biscuit (Badam ke biscuit),120,407.74,6.25,52.14,19.7
Generic/Average Restaurant,Orange biscuit,120,354.78,3.63,62.11,11.01
Generic/Average Restaurant,Gingerman biscuit,120,357.43,6.26,55.24,12.73
Generic/Average Restaurant,Coffee drops,30,443.07,7.57,43.06,27.16
Generic/Average Restaurant,Christmas biscuit,120,406.07,5.67,60.97,15.88
Generic/Average Restaurant,Christmas wreath biscuit,120,386.05,5.43,58.07,15.01
Generic/Average Restaurant,Christmas bell biscuit,120,404.85,5.66,60.79,15.84
Generic/Average Restaurant,Christmas star biscuit,120,392.03,3.54,74.54,10.04
Generic/Average Restaurant,Christmas tree biscuit,120,385.63,5.43,58.41,15.0
Generic/Average Restaurant,Chocolate cream shells,120,427.17,5.1,59.26,19.34
Generic/Average Restaurant,Jelly biscuit,120,404.61,4.23,55.24,19.33
Generic/Average Restaurant,Cherry and walnut cookies,120,422.6,5.63,59.35,18.75
Generic/Average Restaurant,Cheese straws,120,382.0,9.83,30.61,24.28
Generic/Average Restaurant,Butterfly biscuit,120,341.45,9.98,25.33,22.11
Generic/Average Restaurant,Flan pastry,120,445.8,6.72,47.84,25.04
Generic/Average Restaurant,Fruit flan,120,261.35,3.3,34.71,12.48
Generic/Average Restaurant,Orange cream flan,120,280.28,4.73,36.16,13.59
Generic/Average Restaurant,Fruit puree tart,120,286.5,3.35,30.42,16.83
Generic/Average Restaurant,Apple banana pie,120,243.99,3.13,32.12,11.39
Generic/Average Restaurant,Lemon chiffon pie,120,259.31,4.88,27.63,14.52
Generic/Average Restaurant,Orange chiffon pie,120,207.57,3.89,23.14,11.16
Generic/Average Restaurant,Cream buns,120,215.74,4.45,14.16,15.81
Generic/Average Restaurant,Savoury puffs,120,190.79,9.51,10.8,15.24
Generic/Average Restaurant,Choux swans,120,216.34,4.35,14.92,15.6
Generic/Average Restaurant,Potato aigrettes,120,530.03,2.35,8.01,54.24
Generic/Average Restaurant,Cream horns,120,408.23,3.42,23.12,33.55
Generic/Average Restaurant,Savoury cheese horns,120,295.15,5.66,21.38,20.71
Generic/Average Restaurant,Paneer patties,180,338.58,7.6,22.79,23.96
Generic/Average Restaurant,Vegetable patties ,180,261.92,4.01,20.98,17.74
Generic/Average Restaurant,Pearl millet infant food (Bajra shishu aahaar),120,362.44,11.98,62.1,6.62
Generic/Average Restaurant,Sajina,120,345.26,10.81,66.87,3.03
Generic/Average Restaurant,Cereal mix ,120,120.81,3.32,21.84,2.02
Generic/Average Restaurant,Pulse mix,120,83.29,3.16,16.0,0.54
Generic/Average Restaurant,Shishu ahar,120,93.37,2.61,17.42,1.43
Generic/Average Restaurant,Cereal pulse mix with amylase rice flour,150,151.57,4.27,27.8,2.74
Generic/Average Restaurant,Banana groundnut paste/puree,120,213.19,4.27,36.15,5.45
Generic/Average Restaurant,Rice dal porridge (Chawal dal ki khichdi/khichri),150,383.33,10.8,65.04,8.33
Generic/Average Restaurant,Lentils and semolina porridge (Dal suji porridge/daliya),180,117.29,3.26,23.19,1.06
Generic/Average Restaurant,Spinach khichri (Palak khichri/khichdi),150,102.18,3.43,17.35,1.91
Generic/Average Restaurant,Vegetable mix,180,174.21,4.7,36.02,0.94
Generic/Average Restaurant,Lentils and wheat porridge (Dal wheat porridge/daliya ),180,52.54,2.71,8.36,0.94
Generic/Average Restaurant,Maize porridge,120,89.57,2.14,15.64,1.89
Generic/Average Restaurant,Spinach peanut burfi (Palak aur mungfali ki burfi),120,105.37,3.36,13.59,4.39
Generic/Average Restaurant,Split bengal gram burfi/fudge (Channa dal burfi),180,287.36,4.65,54.63,7.09
Generic/Average Restaurant,Chickpea flour cookies (Sweet besan rounds/cookies),80,207.01,4.29,39.64,3.42
Generic/Average Restaurant,Pearl millet mathri (Bajra mathri),120,785.08,1.82,7.42,83.12
Generic/Average Restaurant,Sesame biscuit (Til ke biscuit),120,424.03,8.27,53.65,19.34
Generic/Average Restaurant,Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),50,657.57,4.05,8.68,67.19
Generic/Average Restaurant,Poshtik namak paras,120,613.39,6.49,19.52,56.58
Generic/Average Restaurant,Soya chikki,120,423.7,7.18,62.89,15.51
Generic/Average Restaurant,Besan bathua chilla/cheela,120,373.82,11.48,40.65,18.57
Generic/Average Restaurant,Wheat flour and nuts ladoos (Atta nuts ladoos),120,391.9,9.46,44.31,19.19
Generic/Average Restaurant,Gram flour and semolina dhokla (Besan suji dhokla),50,198.91,8.52,25.92,7.1
Generic/Average Restaurant,Atta dal burfi ,180,298.8,6.66,40.64,12.47
Generic/Average Restaurant,Soya roti,30,283.96,9.18,40.03,9.23
Generic/Average Restaurant,Poshtik khichdi/khichri,150,93.37,3.04,15.64,1.88
Generic/Average Restaurant,Namkeen daliya,180,295.11,8.29,49.32,7.99
Generic/Average Restaurant,Sprouts upma ,90,316.25,9.5,44.96,10.44
Generic/Average Restaurant,Semolina idli (Suji/Rava idli),60,206.39,9.34,33.67,3.47
Generic/Average Restaurant,Poshtik chilla/cheela,120,159.53,4.85,27.47,3.04
Generic/Average Restaurant,Stuffed bittergourd (dry) (Bharwa karela),120,217.65,1.29,2.49,22.38
Generic/Average Restaurant,Cauliflower potato canjee,120,16.79,0.57,2.63,0.39
Generic/Average Restaurant,Creamed spinach,120,96.91,5.18,4.44,6.39
Generic/Average Restaurant,Mango milkshake with ice cream (Aam milkshake ice cream ke saath),30,68.35,1.93,9.18,2.8
Generic/Average Restaurant,Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),30,68.49,1.93,9.33,2.75
Generic/Average Restaurant,Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),30,67.82,1.95,9.15,2.75
Generic/Average Restaurant,Woodapple juice (Bel ka sharbat),30,34.18,0.63,6.51,0.7
Generic/Average Restaurant,Sattu drink,30,23.38,0.56,5.16,0.14
Generic/Average Restaurant,Apple and honey sorbet (Seb aur shehad ka sharbat),120,121.3,0.15,30.74,0.29
Generic/Average Restaurant,Thandai,120,101.18,3.59,9.13,5.89
Generic/Average Restaurant,Cucumber sharbat (Kheere ka sharbat),80,27.28,0.26,6.64,0.06
Generic/Average Restaurant,Apple oats chia seed smoothie,120,85.64,3.49,13.07,2.48
Generic/Average Restaurant,Nannari sharbat,120,88.79,0.01,23.62,0.01
Generic/Average Restaurant,Semolina milk drink (Thari kanji),30,44.16,0.98,6.93,1.36
Generic/Average Restaurant,Saffron milk (Kesariya doodh),30,102.18,3.17,12.64,4.57
Generic/Average Restaurant,Black rice kheer (Chak-hao kheer),150,147.94,4.37,22.93,4.91
Generic/Average Restaurant,Coconut kheer (Nariyal ki kheer),80,162.61,3.4,14.42,10.55
Generic/Average Restaurant,Apple sago payasam (Seb aur sabudana ki kheer),80,136.5,3.13,14.4,7.66
Generic/Average Restaurant,Kesari bath,120,244.57,2.4,31.38,12.59
Generic/Average Restaurant,Putharekulu,120,318.3,3.66,59.61,7.55
Generic/Average Restaurant,Mango malpua,120,334.64,1.65,12.84,30.67
Generic/Average Restaurant,Mango vanilla custard,120,147.63,3.43,18.41,7.04
Generic/Average Restaurant,Kiwi granola pudding,120,280.99,5.6,32.33,15.36
Generic/Average Restaurant,Oats burfi,120,425.19,8.89,62.47,17.27
Generic/Average Restaurant,Lotus seed halwa (Kamal gattay ka halwa),80,370.55,7.79,39.56,20.69
Generic/Average Restaurant,Amaranth ladoo (Rajgira ladoo),120,454.15,10.12,51.33,22.7
Generic/Average Restaurant,Chhena poda,120,344.57,13.68,33.64,17.94
Generic/Average Restaurant,Sweet couscous dessert,80,196.2,3.81,29.69,7.69
Generic/Average Restaurant,Sweetened yogurt (Shrikhand),80,107.18,5.27,16.02,2.89
Generic/Average Restaurant,Thickened sweetened milk (Rabri),30,102.79,3.52,10.55,5.35
Generic/Average Restaurant,Gram flour halwa (Besan halwa),80,276.79,5.88,25.78,17.3
Generic/Average Restaurant,Prawn sandwich,100,169.65,10.36,11.89,9.27
Generic/Average Restaurant,Watercress sandwich,30,229.42,5.17,28.03,11.47
Generic/Average Restaurant,Fish sandwich ,100,150.2,4.72,10.09,10.37
Generic/Average Restaurant,Kidney bean sandwich with cottage cheese,100,176.64,9.85,18.86,6.84
Generic/Average Restaurant,Finger millet biscuit (Ragi biscuit),120,458.56,4.03,52.69,25.79
Generic/Average Restaurant,Buttermilk biscuit,30,322.54,5.76,34.93,17.5
Generic/Average Restaurant,Lemon cookies,120,394.48,5.63,42.19,23.02
Generic/Average Restaurant,Sweet potato biscuit (Shakarkand ke biscuit),80,296.4,5.14,38.13,13.31
Generic/Average Restaurant,Raspberry shortbread cookies,30,441.12,3.0,61.25,21.25
Generic/Average Restaurant,Pumpkin cookies ,120,218.4,2.51,44.69,3.93
Generic/Average Restaurant,Greenpea cookies,120,159.42,6.53,23.07,4.24
Generic/Average Restaurant,Sunflower cookies,120,520.62,9.49,40.06,36.28
Generic/Average Restaurant,Cardamom cookies (Elaichi cookies),120,400.49,5.1,53.99,19.12
Generic/Average Restaurant,Hazelnut cookies,120,493.32,6.25,39.44,34.97
Generic/Average Restaurant,Milk cookies,30,459.43,10.49,48.43,24.96
Generic/Average Restaurant,Cranberry cookies,120,272.48,3.92,36.39,12.66
Generic/Average Restaurant,Olive biscuit,120,438.29,3.2,55.01,23.75
Generic/Average Restaurant,Tutti fruitti biscuit,120,420.78,5.21,53.12,17.9
Generic/Average Restaurant,Peach blueberry preserves,120,177.38,0.53,45.76,0.2
Generic/Average Restaurant,Pear preserves (Naashpati ka murabba),120,101.24,0.25,25.67,0.19
Generic/Average Restaurant,Starfruit preserves ,120,128.93,0.24,33.62,0.12
Generic/Average Restaurant,Gooseberry pickle (Amla ka achaar),40,278.58,1.55,7.61,27.61
Generic/Average Restaurant,Lotus stem pickle (Kamal kakdi ka achar),40,102.69,1.44,20.07,1.6
Generic/Average Restaurant,Date pickle (Khajoor ka achaar),40,182.29,1.68,34.66,4.21
Generic/Average Restaurant,Garlic pickle (Lahasun ka achar),40,413.62,3.72,9.75,39.88
Generic/Average Restaurant,Fermented bamboo shoot pickle (Mesu pickle),40,59.83,1.58,1.73,5.59
Generic/Average Restaurant,Sweet peach pickle (Aadoo ka achaar),40,144.64,0.46,37.01,0.2
Generic/Average Restaurant,Pickled mustard greens ,40,13.12,1.51,1.05,0.22
Generic/Average Restaurant,Small onion pickle ,40,16.86,1.65,2.76,0.64
Generic/Average Restaurant,Green tomato pickle (Haray tamatar ka achaar),40,193.26,1.23,2.87,19.67
Generic/Average Restaurant,Pickled cabbage ,40,13.69,0.39,2.56,0.14
Generic/Average Restaurant,Coconut pickle (Nariyal ka aachar),40,517.26,3.02,11.53,51.71
Generic/Average Restaurant,Potato pickle (Aloo ka achaar),40,369.14,2.07,7.87,36.46
Generic/Average Restaurant,Mango murabba candy,120,293.35,0.27,77.32,0.05
Generic/Average Restaurant,Afghani chicken,300,151.51,15.66,1.95,9.07
Generic/Average Restaurant,Fish orly,300,563.7,5.87,4.27,58.18
Generic/Average Restaurant,Hariyali Fish Tikka,300,150.24,14.01,2.21,9.41
Generic/Average Restaurant,Chicken manchurian,300,142.34,9.53,6.06,11.96
Generic/Average Restaurant,Handi chicken,300,166.02,12.32,1.49,12.46
Generic/Average Restaurant,Lemon chicken,300,169.79,20.2,0.55,9.66
Generic/Average Restaurant,Lemon butter fish,300,160.25,16.38,0.75,10.26
Generic/Average Restaurant,Baked eggs in tomato sauce,40,80.05,4.92,3.78,5.22
Generic/Average Restaurant,Egg in a pepper,300,128.78,12.64,0.17,8.68
Generic/Average Restaurant,Spinach mushroom scrambled egg (Palak mushroom bhurji),300,158.85,13.28,0.59,11.51
Generic/Average Restaurant,Corn omelette/omlet,120,166.93,11.37,1.57,12.89
Generic/Average Restaurant,Cajun chicken,300,184.94,12.69,1.94,13.99
Generic/Average Restaurant,Paaner do pyaza,120,127.7,4.22,3.41,10.87
Generic/Average Restaurant,Cabbage manchurian (Pattagobhi manchurian),120,224.26,0.64,4.85,22.48
Generic/Average Restaurant,Gobi 65,180,278.29,0.56,3.59,29.11
Generic/Average Restaurant,Paneer lababdar,180,105.48,3.98,3.37,8.46
Generic/Average Restaurant,Roasted cauliflower steak,30,78.68,2.05,2.02,6.7
Generic/Average Restaurant,Sauteed radishes with green beans,120,94.32,2.41,6.04,6.61
Generic/Average Restaurant,Garlic chutney/Poondu chutney (Lahasun ki chutney),40,255.51,3.34,20.44,17.55
Generic/Average Restaurant,Schezwan chutney,40,205.19,3.33,10.79,17.72
Generic/Average Restaurant,Onion chutney (Pyaaz ki chutney/Vengaya chutney),40,143.94,2.97,13.52,8.38
Generic/Average Restaurant,Dates chutney (Khajoor ki chutney),40,103.57,1.07,21.69,1.12
Generic/Average Restaurant,Chicken salad,40,338.19,15.33,1.3,30.26
Generic/Average Restaurant,Macaroni salad,40,262.19,5.02,21.63,17.78
Generic/Average Restaurant,Cabbage raita (Pattagobhi raita),40,84.84,3.24,5.25,5.76
Generic/Average Restaurant,Pomegranate raita (Anaar ka raita),40,72.64,4.05,7.15,3.24
Generic/Average Restaurant,Onion raita (Pyaaz ka raita),40,71.56,4.86,7.86,2.43
Generic/Average Restaurant,Green chilli raita (Hari mirch ka raita),40,77.13,5.58,7.66,2.92
Generic/Average Restaurant,Kale salad,40,177.71,4.86,5.01,15.33
Generic/Average Restaurant,Spinach and paneer souffle ,180,186.19,7.56,9.64,13.49
Generic/Average Restaurant,Masala souffle ,40,123.51,6.38,8.02,7.37
Generic/Average Restaurant,Chicken and cheese souffle,300,182.35,9.07,3.47,14.74
Generic/Average Restaurant,Tamarind chutney (Chintapandu pachadi/Puli chutney),40,109.15,0.88,25.07,0.48
Generic/Average Restaurant,Pav bhaji masala,40,230.47,9.13,29.15,10.96
Generic/Average Restaurant,Green chutney,40,79.42,5.42,10.01,1.6
Generic/Average Restaurant,Sago khitchdi/khichri (Sabudana khitchdi/khichri),120,187.16,2.72,22.41,10.1
Generic/Average Restaurant,Gram flour chilla/cheela (Besan chilla/cheela),120,135.93,7.8,21.03,2.85
Generic/Average Restaurant,Vegetable namkeen jave,180,112.23,2.93,18.98,2.51
Generic/Average Restaurant,Khakhra,120,178.5,4.78,27.66,5.32
Generic/Average Restaurant,Moong bean dosa (Pesarattu),90,285.96,12.32,31.91,11.67
Generic/Average Restaurant,Methi thepla,120,346.16,8.98,41.34,15.95
Generic/Average Restaurant,Rice puttu (Ari puttu),150,81.98,1.26,11.82,3.13
Generic/Average Restaurant,Buckwheat pancake (Khura),80,263.3,2.91,27.28,16.43
Generic/Average Restaurant,Quinoa khichdi/khichri,150,64.01,3.18,8.83,1.59
Generic/Average Restaurant,Khakhra chaat,50,358.66,4.52,16.64,30.65
Generic/Average Restaurant,Banana appam,90,469.81,1.17,20.06,42.53
Generic/Average Restaurant,Veg manchurian,120,585.64,0.89,6.82,61.65
Generic/Average Restaurant,Pav bhaji,50,96.53,2.66,11.99,4.32
Generic/Average Restaurant,Rice murukku,150,593.99,5.41,33.29,48.22
Generic/Average Restaurant,Bhel puri ,50,509.89,3.52,16.47,47.91
Generic/Average Restaurant,Semolina dhokla (Suji/Rava dhokla),50,194.91,5.44,30.86,5.2
Generic/Average Restaurant,Spicy corn chaat ,50,479.8,4.61,11.45,46.55
Generic/Average Restaurant,Jackfruit fritters (Ponsa mulik/Kathal ka pakora),120,597.79,2.34,24.0,54.41
Generic/Average Restaurant,Banana chips (Kele ke chips),120,665.67,0.37,7.32,70.46
Generic/Average Restaurant,Wheat cake,80,314.63,4.79,41.13,14.95
Generic/Average Restaurant,Mango cheesecake,80,152.46,2.39,20.06,7.3
Generic/Average Restaurant,Carrot cake (Gajar ka cake),80,255.59,5.6,35.98,10.27
Generic/Average Restaurant,Semolina cake (Suji/Rava cake),80,374.14,6.58,31.32,25.18
Generic/Average Restaurant,Finger millet cake (Ragi cake),80,279.46,3.96,38.93,12.27
Generic/Average Restaurant,Honey cake,80,333.59,3.08,49.04,14.7
Generic/Average Restaurant,Almond cardamom cake (Badam elaichi cake),80,356.35,7.18,34.53,21.36
Generic/Average Restaurant,Tutti frutti cake,80,347.72,4.49,52.94,12.68
Generic/Average Restaurant,Ham and Bean soup,40,96.04,10.61,4.18,4.15
Generic/Average Restaurant,Whey soup,40,68.91,3.45,6.26,3.34
Generic/Average Restaurant,Bottle gourd soup (Ghiya/Lauki soup),40,23.05,0.45,1.16,1.79
Generic/Average Restaurant,Baked potato soup,40,147.05,5.73,5.85,11.21
Generic/Average Restaurant,Pumpkin soup,40,40.05,0.47,2.08,3.2
Generic/Average Restaurant,Sweet corn soup,40,32.25,0.99,3.56,1.63
Generic/Average Restaurant,Paneer soup,40,47.85,3.22,2.42,2.8
Generic/Average Restaurant,Curried Cauliflower soup,40,37.32,6.72,3.12,9.77
Generic/Average Restaurant,Millet soup,40,55.99,11.26,8.22,12.57
Generic/Average Restaurant,Lemon coriander soup,40,108.06,2.27,10.32,6.26
Generic/Average Restaurant,Garlic soup,40,194.86,2.38,6.99,17.62
Generic/Average Restaurant,Dal makhani,180,74.04,3.32,7.96,3.06
Generic/Average Restaurant,Dalma,180,118.93,4.91,15.04,4.58
Generic/Average Restaurant,Split bengal gram dal (Channa dal),180,99.67,4.15,9.99,4.62
Generic/Average Restaurant,Horsegram dal (Kulthi dal) ,180,55.65,2.91,8.21,1.13
Generic/Average Restaurant,Panchmel dal,180,111.22,4.63,10.71,5.36
Generic/Average Restaurant,Dal dhokli,180,68.74,2.96,8.55,2.47
Generic/Average Restaurant,Gujarati handvo ,120,207.09,8.24,31.86,4.8
Generic/Average Restaurant,Sev (Omapodi/Karapusa),120,609.14,5.12,12.87,60.08
Generic/Average Restaurant,Papdi,120,708.96,1.83,12.89,72.11
Generic/Average Restaurant,Jowar dosa,90,294.35,8.5,40.53,10.28
Generic/Average Restaurant,Bread roll,50,435.46,2.85,16.12,40.25
Generic/Average Restaurant,Soya seekh kebab,300,115.05,5.4,10.0,5.88
Generic/Average Restaurant,Classic seasoned black beans,30,28.78,8.01,7.66,8.28
Generic/Average Restaurant,Maa chaane ki dal,180,344.67,19.8,43.11,9.5
Generic/Average Restaurant,Garlic chickpea soup (Lahasun aur chane ka shoraba),40,89.53,4.45,13.92,2.01
