Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Vegetable biryani/biriyani,150,174.61,3.16,18.56,9.51
Generic/Average Restaurant,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",30,176.3,4.26,21.62,7.88
Generic/Average Restaurant,Sweet rice (Meethe chawal),150,215.41,2.1,42.59,4.57
Generic/Average Restaurant,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),150,195.74,5.75,32.93,4.32
Generic/Average Restaurant,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),150,373.04,7.45,65.08,8.53
Generic/Average Restaurant,Spanish rice,150,164.24,4.19,31.1,2.23
Generic/Average Restaurant,Chinese fried rice,150,120.58,4.05,13.4,5.43
Generic/Average Restaurant,Macroni cheese pie,120,170.63,5.85,21.1,7.48
Generic/Average Restaurant,Vegetable chowmein,180,129.71,3.07,15.44,6.36
Generic/Average Restaurant,Chicken chowmein,300,151.33,6.33,13.3,8.23
Generic/Average Restaurant,Cheese noodle ring,120,133.67,6.22,13.96,6.12
Generic/Average Restaurant,Spaghetti and cheese balls in tomato sauce,40,508.32,2.41,7.82,52.08
Generic/Average Restaurant,Penne platter,120,177.4,5.04,20.87,8.71
Generic/Average Restaurant,Pasta hot pot,150,125.17,5.84,11.6,6.47
Generic/Average Restaurant,Chicken lasagne,300,187.49,10.45,13.9,10.36
Generic/Average Restaurant,Fettuccine with spinach sauce,40,129.21,3.1,12.19,7.83
Generic/Average Restaurant,Naan,30,286.45,8.05,51.75,4.99
Generic/Average Restaurant,Bhatura,120,793.2,1.63,10.73,82.56
Generic/Average Restaurant,Idli,60,137.54,4.64,28.18,0.33
Generic/Average Restaurant,Masala dosa,40,164.58,3.29,19.57,7.84
Generic/Average Restaurant,Semolina dosa (Suji/Rava dosa),90,227.05,7.3,32.84,7.12
Generic/Average Restaurant,Onion tomato uttapam,90,462.02,1.91,11.32,45.3
Generic/Average Restaurant,Paneer kaathi roll,50,285.94,6.92,20.1,19.55
Generic/Average Restaurant,Makki ki roti,30,263.97,3.49,24.19,16.85
Generic/Average Restaurant,Washed moong dal (Dhuli moong ki dal),180,50.0,2.68,5.91,1.68
Generic/Average Restaurant,Washed urad dal (Dhuli urad ki dal),180,61.32,2.51,5.84,2.98
Generic/Average Restaurant,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),180,73.25,2.79,7.1,3.6
Generic/Average Restaurant,Dry washed urad,120,124.71,6.85,15.66,3.5
Generic/Average Restaurant,Mixed dal,180,61.93,2.51,5.79,3.1
Generic/Average Restaurant,Whole moong (Moong ki dal),180,53.7,2.25,5.22,2.56
Generic/Average Restaurant,Whole masoor (Masoor ki dal),180,54.05,2.28,5.37,2.52
Generic/Average Restaurant,Whole moth (Moth ki dal),180,55.0,2.01,5.74,2.62
Generic/Average Restaurant,Whole urad (Urad ki dal),180,53.8,2.21,5.05,2.62
Generic/Average Restaurant,Moti mahal dal (Urad rajmah mix dal),180,103.13,3.93,8.74,5.66
Generic/Average Restaurant,Black channa curry/Bengal gram curry (Kale chane ki curry),300,140.68,5.67,14.11,6.61
Generic/Average Restaurant,Chickpeas curry (Safed channa curry),300,163.43,6.1,19.98,6.84
Generic/Average Restaurant,Lobia curry,300,148.99,6.06,17.88,5.62
Generic/Average Restaurant,Soyabean curry,300,163.28,10.43,6.76,10.19
Generic/Average Restaurant,Kidney bean curry (Rajmah curry),300,143.73,5.95,16.38,5.77
Generic/Average Restaurant,Sambar,120,96.92,3.35,10.57,4.38
Generic/Average Restaurant,Besan kadhi with pakodies,120,403.35,1.64,3.56,42.59
Generic/Average Restaurant,Khatta channa,120,202.57,6.3,21.14,10.56
Generic/Average Restaurant,Sprouted moong dal chat,180,32.47,1.35,6.01,0.32
Generic/Average Restaurant,Potato cauliflower (Aloo gobhi),180,106.18,1.9,5.99,8.13
Generic/Average Restaurant,Potato capsicum (Shimla mirch aloo),180,125.53,1.41,8.72,9.33
Generic/Average Restaurant,Cabbage and peas (Pattagobhi aur matar),120,63.88,3.24,6.24,2.64
Generic/Average Restaurant,Carrot and fenugreek leaves (Gajar methi),120,61.92,2.1,4.17,3.81
Generic/Average Restaurant,Potato fenugreek (Aloo methi),180,135.15,2.25,8.47,10.04
Generic/Average Restaurant,Brinjal bhartha (Baingan ka bhartha),180,65.12,1.38,4.4,4.48
Generic/Average Restaurant,Dry potato (Sookhe aloo),180,103.15,1.62,14.38,4.18
Generic/Average Restaurant,Beans with coconut (Nariyal aur sem/phali; Beans thoran),120,131.63,2.62,4.39,11.39
Generic/Average Restaurant,Cauliflower with coconut (Nariyal ke saath phoolgobhi),120,132.11,2.64,3.99,11.56
Generic/Average Restaurant,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),120,106.61,1.82,4.99,8.62
Generic/Average Restaurant,Raw turnip with coconut ,120,132.15,1.8,5.78,11.47
Generic/Average Restaurant,Raw papaya with coconut (Papaya thoran),120,132.75,1.54,5.58,11.42
Generic/Average Restaurant,Stuffed okra (Bharwa bhindi),180,94.34,2.08,3.85,7.66
Generic/Average Restaurant,Stuffed round gourd (Bharwa tinde),120,72.8,1.1,4.02,5.75
Generic/Average Restaurant,Stuffed capsicum (Bharwa shimla mirch),120,90.94,1.34,8.26,5.7
Generic/Average Restaurant,Stuffed brinjal (Bharwa baingan),180,93.0,1.53,3.96,7.73
Generic/Average Restaurant,Stuffed tomatoes (Bharwa tamatar),120,93.35,3.28,6.19,6.06
Generic/Average Restaurant,Pea potato curry (Aloo matar),300,100.92,3.48,9.74,5.13
Generic/Average Restaurant,Pea paneer curry (Matar paneer),300,134.83,6.61,9.29,7.75
Generic/Average Restaurant,Pea mushroom curry (Matar mushroom),300,93.3,3.87,7.41,5.16
Generic/Average Restaurant,Pea curry (Matar ki sabzi),300,102.99,4.51,9.2,5.11
Generic/Average Restaurant,Pea vadi curry,300,101.95,4.64,8.9,5.08
Generic/Average Restaurant,Paneer curry,300,176.52,7.8,8.4,12.38
Generic/Average Restaurant,Lotus stem curry (Kamal kakdi curry),300,110.34,1.53,9.24,7.25
Generic/Average Restaurant,Gravy for kofta,180,125.59,1.75,6.31,10.35
Generic/Average Restaurant,Pea kofta curry (Matar kofta curry),300,595.66,2.01,4.17,63.39
Generic/Average Restaurant,Spinach kofta curry (Palak kofta curry),300,571.78,1.09,3.56,61.49
Generic/Average Restaurant,Paneer kofta curry,300,670.91,2.39,3.27,72.06
Generic/Average Restaurant,Lotus stem kofta curry (Kamal kakdi kofta curry),300,633.56,0.96,5.01,67.76
Generic/Average Restaurant,Raw banana kofta curry (Kela kofta curry),300,627.27,0.62,3.4,67.98
